track_title,artist_name,spotify_album,spotify_release_date,spotify_duration_ms,spotify_popularity,spotify_genres
feelslikeimfallinginlove,Coldplay,feelslikeimfallinginlove,2024-06-21,237803,80,permanent wave
If I'm Lucky,Jason Derulo,If I'm Lucky,2017-08-31,212013,49,dance pop
Bad Liar,Selena Gomez,Bad Liar,2017-05-18,214647,63,pop
Nunca Me Esqueci de Ti,Rui Veloso,O Concerto Acústico (Live),2003-01-01,195200,39,portuguese rock
My Love Mine All Mine,Mitski,The Land Is Inhospitable and So Are We,2023-09-15,137773,88,brooklyn indie
I HAD SOME HELP,POST MALONE & MORGAN WALLEN,F-1 Trillion,2024-08-15,178205,85,dfw rap
EVERYTIME WE TOUCH,DAVID GUETTA,Pop Life,2007-06-01,220640,32,big room
You Are the Reason,Calum Scott,Only Human (Deluxe),2018-03-09,204326,76,pop
Nothin' on You,"B.o.B., Bruno Mars",B.o.B Presents: The Adventures of Bobby Ray,2010-04-27,268320,76,atl hip hop
Faz Bem,"Bluay, Julinho Ksd",Faz Bem,2024-01-19,183714,59,trap tuga
Talking to the Moon,Bruno Mars,Doo-Wops & Hooligans,2010-05-11,217866,81,dance pop
Hello,Adele,25,2015-11-20,295502,71,british soul
Señorita,"Shawn Mendes, Camila Cabello",Shawn Mendes (Deluxe),2019-06-19,190799,78,canadian pop
GALOPA,PEDRO SAMPAIO,CHAMA MEU NOME,2022-02-02,140500,63,funk carioca
Heat Waves,Glass Animals,Dreamland,2020-08-07,238805,85,gauze pop
VIDA BOA,DAVID CARREIRA & JULIETTE,Vida Boa,2024-02-23,175677,36,portuguese pop
THANK YOU,DIDO,Thank You (Not So Bad),2023-12-01,140000,82,belgian dance
TALVEZ,CAROLINA DE DEUS,Dores de Crescimento,2023-05-12,184269,40,""
A Thousand Years,Christina Perri,a thousand years,2011-10-18,285120,80,pop
DO MEU AO TEU CORREIO,NENA,ao fundo da rua,2022-11-18,205972,39,portuguese pop
Better in Time,Leona Lewis,Spirit,2007-01-01,234173,65,british soul
Shake It Off (Taylor's Version),Taylor Swift,1989 (Taylor's Version),2023-10-26,219209,72,pop
É ISSO AÍ,ANA CAROLINA & SEU JORGE,Ana E Jorge,2005-11-17,318026,56,mpb
Heather,Conan Gray,Kid Krow,2020-03-20,198040,83,bedroom pop
Vamo De Pagodin,Mc Daniel,Vamo de Pagodin,2024-05-03,160864,75,funk viral
I DON`T BELIEVE YOU,PINK,Funhouse (Expanded Edition),2008-10-24,276280,44,dance pop
CLUB CAN`T HANDLE ME,FLO RIDA,Only One Flo (Part 1),2010-11-24,234560,76,dance pop
Wrecked,Imagine Dragons,Mercury - Acts 1 & 2,2022-07-01,244004,68,modern rock
BKBN,SORAIA RAMOS,BKBN,2022-02-14,178574,43,kizomba
If I Lose Myself,OneRepublic,Native,2014-01-01,214813,59,piano rock
STICK SEASON,NOAH KAHAN,Stick Season,2022-10-14,182346,87,pov: indie
ALL OF ME,JOHN LEGEND,Love In The Future (Expanded Edition),2013-08-30,269560,83,neo soul
Club Can't Handle Me,"Flo Rida, David Guetta",Only One Flo (Part 1),2010-11-24,234560,76,dance pop
Wish You The Best,Lewis Capaldi,Broken By Desire To Be Heavenly Sent,2023-05-19,210880,75,pop
EMPIRE STATE OF MIND,ALICIA KEYS,The Blueprint 3,2009-09-08,276920,80,east coast hip hop
ALIBI,SEVDALIZA with PABLLO VITTAR & YSEULT,Alibi (with Pabllo Vittar & Yseult),2024-06-28,161655,68,alternative r&b
Voltas,Fernando Daniel,Voltas,2018-10-12,228539,46,portuguese pop
TOTAL ECLIPSE OF THE HEART,BONNIE TYLER,The Very Best of Bonnie Tyler,2009-03-26,267360,79,europop
Faz Bem,Bluay,Faz Bem,2024-01-19,183714,59,trap tuga
Congratulations,Post Malone,Stoney (Deluxe),2016-12-09,220293,78,dfw rap
Love on the Brain,Rihanna,ANTI (Deluxe),2016-01-28,224000,83,barbadian pop
SKYFALL,ADELE,Skyfall,2012-10-04,286480,84,british soul
MORE THAN YOU KNOW,AXWELL & INGROSSO,More Than You Know,2017-07-28,203000,77,edm
AUSTIN,DASHA,What Happens Now?,2024-02-16,171782,88,""
I Knew You Were Trouble (Taylor's Version),Taylor Swift,Red (Taylor's Version),2021-11-12,219760,72,pop
MISS INDEPENDENT,NE-YO,Year Of The Gentleman (Bonus Track Edition),2008-01-01,232000,77,dance pop
We're Good,Dua Lipa,Future Nostalgia (The Moonlight Edition),2021-02-11,165506,66,dance pop
MTG QUEM NAO QUER SOU EU,"DJ TOPO, SEU JORGE, MC LEOZIN & MC G15",MTG QUEM NÃO QUER SOU EU,2024-05-10,123692,77,deboxe
IMAGINA ESSE CENARIO,MATUE & VEIGH,333,2024-09-09,155368,77,r&b brasileiro
HOT N COLD,KATY PERRY,One Of The Boys,2008-06-17,220226,70,pop
LIGHTER,"GALANTIS, DAVID GUETTA & 5 SECONDS OF SUMMER",Rx,2024-05-17,172268,62,dance pop
Die With A Smile,Lady Gaga,Die With A Smile,2024-08-16,251667,100,art pop
Menina Solta,Giulia Be,menina solta,2019-08-23,150026,67,pop nacional
La Bachata,Manuel Turizo,2000,2023-03-17,162637,83,colombian pop
Houdini,Dua Lipa,Radical Optimism,2024-05-03,185917,80,dance pop
FONES NOS OUVIDOS,NENA,Fones nos ouvidos - Ao vivo no Grovewood Estúdio,2024-08-16,233840,39,portuguese pop
Amanhã,Os Quatro e Meia,Festival Da Canção 2022,2022-01-21,179589,44,portuguese folk
WANT TO WANT ME,JASON DERULO,Everything Is 4,2015-05-29,207719,73,dance pop
Dia de Folga,Ana Moura,Moura,2016-01-01,157573,35,fado
DESPEDIDA DE SOLTEIRA,BÁRBARA TINOCO,Bichinho,2023-04-21,202920,46,portuguese pop
LOUCAMENTE,"D.A.M.A, LOS ROMEROS",Loucamente,2023-05-12,222909,49,portuguese pop
Brutos Diamantes,Syro,11 11,2023-11-11,176320,56,portuguese pop
Survivor,Destiny's Child,Survivor,2001-05-01,254026,67,dance pop
SLOW IT DOWN,BENSON BOONE,Fireworks & Rollerblades,2024-04-05,161831,87,singer-songwriter pop
A Coisa Vai Andando,Beatriz Caixinha,Merenda Mista,2024-09-06,136968,14,""
Sushi,Nenny,Aura,2020-03-02,159737,34,hip hop tuga
Desliza,Ana Moura,Desliza,2024-09-19,160600,48,fado
CHICO,LUISA SONZA,Escândalo Íntimo,2024-05-28,182111,60,funk carioca
Heaven,Niall Horan,The Show,2023-06-09,186043,71,pop
Us,James Bay,Electric Light,2018-05-18,181360,70,neo mellow
Chamada Não Atendida,Bárbara Tinoco,Bichinho,2023-04-21,207173,49,portuguese pop
Stick Season,Noah Kahan,Stick Season,2022-10-14,182346,87,pov: indie
Dakiti,Bad Bunny,EL ÚLTIMO TOUR DEL MUNDO,2020-11-27,205090,76,reggaeton
Without You,The Kid Laroi,F*CK LOVE 3+: OVER YOU,2021-07-27,161384,73,australian hip hop
O Teu Cheiro,Bispo,O Teu Cheiro,2024-10-11,170290,57,hip hop tuga
GUESS,CHARLI XCX FEAT. BILLIE EILISH,Guess featuring Billie Eilish,2024-08-01,143330,87,art pop
AMAR PELA METADE,CALEMA,Amar Pela Metade / Aimer À Moitié,2024-09-20,186922,55,musica santomense
"GOOD LUCK, BABE",CHAPPELL ROAN,"Good Luck, Babe!",2024-04-05,218423,94,indie pop
APT,"ROSÉ, BRUNO MARS",APT.,2024-10-18,169917,95,k-pop
Let It Out,Frances,Things I've Never Said (Deluxe),2017-03-17,232133,22,indie anthem-folk
Imagina,FrankieontheGuitar,Imagina,2021-02-26,223100,52,hip hop tuga
Story of My Life,One Direction,Midnight Memories (Deluxe),2013-11-25,245493,87,boy band
The Emptiness Machine,Linkin Park,The Emptiness Machine,2024-09-05,190427,90,alternative metal
MILAGRE,JURA,milagre,2023-03-24,159000,33,portuguese pop
Cold Heart [Pnau remix],Elton John,The Lockdown Sessions,2021-10-22,202735,67,glam rock
STUMBLIN IN,CYRIL,Stumblin' In,2023-11-10,213363,85,""
Benção,Mizzy Miles,Bênção,2024-03-01,205934,62,hip hop tuga
I DONT WANNA WAIT,DAVID GUETTA + ONEREPUBLIC,I Don't Wanna Wait,2024-04-05,149667,86,big room
OLHA PARA NÓS,"ANJOS, NUNO RIBEIRO",Olha Para Nós (feat. Nuno Ribeiro),2024-10-18,206836,35,portuguese pop
Cidade,"Bárbara Tinoco, Bárbara Bandeira",Desalinhados,2021-04-29,165840,47,portuguese pop
Apneia,Tatiana Duarte,Apneia,2024-05-31,201569,28,""
"I LOVE YOU, IM SORRY",GRACIE ABRAMS,The Secret of Us,2024-06-21,157146,90,alt z
Fortnight,Taylor Swift,THE TORTURED POETS DEPARTMENT,2024-04-18,228965,85,pop
TOO SWEET,HOZIER,Unreal Unearth: Unaired,2024-08-19,251424,78,irish singer-songwriter
7 Rings,Ariana Grande,"thank u, next",2019-02-08,178626,81,pop
Fumaça,Bárbara Bandeira,Fumaça (feat. Veigh),2024-05-17,202474,54,portuguese pop
Starboy,The Weeknd,Starboy,2016-11-25,230453,87,canadian contemporary r&b
A BAR SONG,SHABOOZEY,A Bar Song (Tipsy),2024-04-12,171291,87,modern country pop
Más de la Una,Piso 21 ,El Amor En Los Tiempos Del Perreo,2021-03-18,236731,52,colombian pop
Alô,Dillaz,O Próprio,2024-02-16,211714,60,hip hop tuga
"Yo x Ti, Tu x Mi",Rosalía,"Yo x Ti, Tu x Mi",2019-08-15,201040,70,pop
FIRESTONE,"KYGO, CONRAD",Cloud Nine,2016-05-13,271640,75,edm
Do You No Wrong,Richie Campbell,Lisboa,2017-12-21,243180,50,hip hop tuga
NOSSO QUADRO,ANA CASTELA & AGROPLAY,Agroplay Verão,2023-08-18,173698,65,agronejo
Sabes Bem,Os Quatro e Meia,O Tempo Vai Esperar,2020-09-25,211986,40,portuguese folk
It'll Be Okay,Shawn Mendes,It'll Be Okay,2021-12-01,222800,69,canadian pop
Can't Even Hate You,Cian Ducrot,Can’t Even Hate You,2024-08-30,237203,58,irish pop
TAL COMO SOU,FERNANDO DANIEL,Presente,2020-07-10,171946,40,portuguese pop
Dive,Olivia Dean,Messy,2023-06-30,200759,72,pop soul
Bipolar,MC Davi,Bipolar,2021-04-09,276480,55,funk carioca
LOVE FORA DE STOCK,PIKIKA,love fora de stock,2024-03-15,180762,27,""
EMPIRE STATE OF MIND,JAY-Z feat. ALICIA KEYS,The Blueprint 3,2009-09-08,276920,80,east coast hip hop
Thunder,Imagine Dragons,Evolve,2017-06-23,187146,84,modern rock
LIVE TO TELL,MADONNA,True Blue,1986-06-30,351920,57,dance pop
NÃO DEVIA,"NUNO RIBEIRO, LOONY JOHNSON",Sentido,2023-06-23,178538,49,portuguese pop
Houdini,Eminem,Houdini,2024-05-31,227239,82,detroit hip hop
ALIBI,ELLA HENDERSON feat. RUDIMENTAL,Alibi (feat. Rudimental),2024-01-12,184852,76,dance pop
CALON,NININHO VAZ MAIA,Calon,2024-05-10,148169,52,portuguese pop
SIDE TO SIDE,"ARIANA GRANDE, NICKI MINAJ",Dangerous Woman,2016-05-20,226160,66,pop
Burguesinha (ao vivo),Seu Jorge,"Musicas para Churrasco, Vol.1 (Ao Vivo) (Delux Edition)",2012-01-01,300506,41,mpb
Boyfriend,Dove Cameron,Boyfriend,2022-02-11,153000,71,pop
Mon Amour [remix],"Zzoilo, Aitana",Mon Amour (Remix),2021-08-18,179940,74,latin pop
EYES CLOSED,ED SHEERAN,- (Deluxe),2023-05-05,194848,73,pop
SOMOS IGUAIS,PLUTONIO,"Sacrifício: Sangue, Lágrimas, Suor",2019-11-22,237679,55,hip hop tuga
A Nossa Dança,Calema,A Nossa Dança,2023-04-06,182500,58,musica santomense
Believer,Imagine Dragons,Evolve,2017-06-23,204346,85,modern rock
Quem Me Dera,Mariza,Mariza,2018-05-25,256920,44,fado
AMERICAN BOY,ESTELLE [+] KANYE WEST,Shine,2008-03-28,284733,77,neo soul
BETTER NOW,POST MALONE,beerbongs & bentleys,2018-04-27,231266,77,dfw rap
If the World Was Ending,"JP Saxe, Julia Michaels",Dangerous Levels of Introspection,2021-06-25,209493,72,alt z
FLOWERS,MILEY CYRUS,Endless Summer Vacation,2023-08-18,200600,87,pop
SEYA,MORAD & GIMS,Seya,2023-10-06,188484,73,""
ACORDAR,PLUTONIO,Acordar,2024-05-24,197862,56,hip hop tuga
WHEN LOVE SUCKS,JASON DERULO FEAT. DIDO,Nu King,2024-02-16,169645,48,dance pop
DONT DREAM ITS OVER,CROWDED HOUSE,Crowded House,1986-01-01,236933,81,australian rock
Rapstar,Polo G,Hall of Fame,2021-06-11,165925,78,chicago rap
Alone,Liquideep,Fabrics of the Heart,2010-05-25,216360,45,afro soul
Ai se Ele Cai,Xutos & Pontapés,O Mundo Ao Contrário,2004-01-01,192826,42,portuguese rock
LOOK WHOS LAUGHING NOW,BENJAMIN INGROSSO,Look Who's Laughing Now,2024-06-14,174660,67,swedish pop
THE SOUND OF SILENCE,"DISTURBED, CYRIL REMIX",The Sound of Silence (CYRIL Remix),2024-02-02,185238,63,alternative metal
Belong Together,Mark Ambor,Belong Together,2024-02-16,148317,83,singer-songwriter pop
Leave Out all the Rest,Linkin Park,Minutes to Midnight,2007-05-14,209306,72,alternative metal
Follow You,Imagine Dragons,Mercury - Acts 1 & 2,2022-07-01,175643,70,modern rock
STAY,RIHANNA [+] MIKKY EKKO,Unapologetic (Edited Version),2012-01-01,240706,71,barbadian pop
Beautiful Things,Benson Boone,Fireworks & Rollerblades,2024-04-05,180304,89,singer-songwriter pop
MWAKI,"ZERB, SOFIYA NZAU",SURRENDER,2023-10-27,208135,75,pop dance
Cover Me in Sunshine,"Pink, Willow Sage Hart",Cover Me In Sunshine,2021-02-12,141050,67,dance pop
I Adore You,Hugel,I Adore You (feat. Daecolm),2024-07-19,214000,84,deep house
Como Tu,"Bárbara Bandeira, Ivandro",Finda,2023-10-06,207873,51,portuguese pop
Bad Day (Acoustic Version),Daniel Powter,Acoustic Autumn (Acoustic Version),2019-10-18,216586,1,canadian pop
Take Me to Church,Hozier,Hozier (Expanded Edition),2014-09-19,241693,79,irish singer-songwriter
Idiota,Jão,PIRATA,2021-10-20,181626,63,pop nacional
FOLLOW YOU,IMAGINE DRAGONS,Mercury - Acts 1 & 2,2022-07-01,175643,70,modern rock
LOSE CONTROL,TEDDY SWIMS,I've Tried Everything But Therapy (Part 1),2023-09-15,210688,89,""
Side to Side,Ariana Grande,Dangerous Woman,2016-05-20,226160,66,pop
PERMISSION TO DANCE,BTS,Permission to Dance,2021-07-23,187585,71,k-pop
Memories,Maroon 5,JORDI (Deluxe),2021-06-11,189486,81,pop
LONELY,JUSTIN BIEBER & BENNY BLANCO,Justice,2021-03-19,149189,73,canadian pop
Again,Lenny Kravitz,Again,2000-01-01,231666,66,permanent wave
BAD ROMANCE,LADY GAGA,The Fame Monster (Deluxe Edition),2009-11-05,294573,82,art pop
AS IT WAS,HARRY STYLES,Harry's House,2022-05-20,167303,87,pop
SUPA,FLORITO,Supa,2024-10-24,170769,18,""
NOITE,"IVANDRO, VITOR KLEY",Trovador,2024-02-16,206522,49,hip hop tuga
NÃO ME IMPORTO,CAROLINA DESLANDES,Não Me Importo,2020-11-24,194862,43,portuguese pop
Love Nwantiti [remix],CKay,love nwantiti (feat. Dj Yo! & AX'EL) [Remix],2021-09-09,188368,70,afro r&b
Just Breathe,Pearl Jam,Backspacer,2009-09-19,215853,66,alternative metal
Dancing In the Flames,The Weeknd,Dancing In The Flames,2024-09-13,220036,85,canadian contemporary r&b
Anda Comigo,David Carreira,OYTO,2023-05-19,173998,19,portuguese pop
Slow It Down,Benson Boone,Fireworks & Rollerblades,2024-04-05,161831,87,singer-songwriter pop
Hallelujah,Jeff Buckley,Grace,1994-01-01,413826,67,melancholia
THE WAY I ARE,TIMBALAND,Shock Value,2007-01-01,179120,82,dance pop
A NOSSA DANCA,CALEMA,A Nossa Dança,2023-04-06,182500,58,musica santomense
Se Ao Menos,"Inês Apenas, Irma",Se Ao Menos,2024-05-05,205016,18,""
Lovesong,Adele,21,2011-01-24,316240,55,british soul
Crack Com Mussilon,Matuê,333,2024-09-09,154418,80,r&b brasileiro
RE-TRATAMENTO,DA WEASEL,Re-Definições,2004-06-11,245693,50,hip hop tuga
Despedida de Solteira,Bárbara Tinoco,Bichinho,2023-04-21,202920,46,portuguese pop
Romance de Cinema,Domingues,Romance de Cinema,2020-11-20,235862,50,hip hop tuga
CREEPIN,"METRO BOOMIN, THE WEEKND & 21 SAVAGE",HEROES & VILLAINS,2022-12-02,221520,81,rap
GAROTA,"MANINHO, MARISA LIZ",Garota (feat. Marisa Liz),2024-06-07,216569,54,portuguese pop
DIE WITH A SMILE,"BRUNO MARS, LADY GAGA",Die With A Smile,2024-08-16,251667,100,art pop
Abcdefu,Gayle,abcdefu,2021-08-13,168601,72,alt z
BROKEN STRINGS,JAMES MORRISON [+] NELLY FURTADO,"Songs For You, Truths For Me",2008-01-01,250453,47,neo mellow
What Do You Believe In,Rag'n'Bone Man,What Do You Believe In? (Deluxe),2024-10-18,190474,47,neo soul
RGTN,PROFJAM,RGTN,2023-11-10,211160,29,hip hop tuga
Juramento Eterno de Sal,Álvaro de Luna,Levantaremos al sol,2022-03-11,205546,54,spanish pop
Breathe (2am),Anna Nalick,Wreck of the Day,2005-01-01,279826,60,acoustic pop
Move,Adam Port,Move,2024-06-07,177598,87,melodic house
Creepin',"Metro Boomin, The Weeknd, 21 Savage",HEROES & VILLAINS,2022-12-02,221520,81,rap
Problemas De Um Milionário,WIU & Teto,Problemas de um Milionário,2024-04-10,144360,71,trap brasileiro
idontwannabeyouanymore,Billie Eilish,dont smile at me,2017-12-22,203569,78,art pop
NAO SOMOS IGUAIS,DIANA LIMA,Beco Com Saída,2024-03-08,185517,35,portuguese pop
Alma Nua,Van Zee,do.mar,2023-12-01,205637,56,hip hop tuga
Broken Strings,"James Morrison, Nelly Furtado","Songs For You, Truths For Me",2008-01-01,250453,47,neo mellow
BEFORE YOU,BENSON BOONE,Before You,2022-10-28,187940,73,singer-songwriter pop
ELA NÃO SABE POIS NÃO,BÁRBARA TINOCO,Bichinho (para onde vai o amor?),2024-05-31,185386,53,portuguese pop
In the End,Linkin Park,Hybrid Theory (Bonus Edition),2000-01-01,216880,87,alternative metal
Vivi Good,Julinho Ksd,Sabi na Sabura,2021-09-24,214872,43,hip hop tuga
Hurt,Christina Aguilera,Back To Basics,2006-08-14,243373,62,dance pop
I Don't Care,Ed Sheeran,No.6 Collaborations Project,2019-07-12,219946,78,pop
Save Your Tears [remix],The Weeknd,After Hours (Deluxe),2020-03-20,191013,79,canadian contemporary r&b
THINKING OUT LOUD,ED SHEERAN,x (Deluxe Edition),2014-06-21,281560,80,pop
Taste,Sabrina Carpenter,Short n' Sweet,2024-08-23,157279,94,pop
Callaita,Bad Bunny,Un Verano Sin Ti,2022-05-06,250533,73,reggaeton
Nunca Mais Vou Lá Estar,"Miguel Carmona, Rita Rocha",Fora de Horas,2024-04-19,230067,23,""
FORTNIGHT,"TAYLOR SWIFT, POST MALONE",THE TORTURED POETS DEPARTMENT,2024-04-18,228965,85,pop
How Deep Is Your Love,"Calvin Harris, Disciples",How Deep Is Your Love,2015-07-17,212640,75,dance pop
Used to Be Young,Miley Cyrus,Endless Summer Vacation,2023-08-18,191185,70,pop
A VIDA DA,JURA,Golpes da Vida,2024-08-23,157428,12,""
BEFORE YOU GO,LEWIS CAPALDI,Divinely Uninspired To A Hellish Extent (Extended Edition),2019-11-22,215106,81,pop
All For You,"Cian Ducrot, Ella Henderson",All For You (with Ella Henderson),2022-08-12,221173,52,irish pop
FORTNIGHT,TAYLOR SWIFT FEAT. POST MALONE,THE TORTURED POETS DEPARTMENT,2024-04-18,228965,85,pop
WHEN I WAS YOUR MAN,BRUNO MARS,Unorthodox Jukebox,2012-12-07,213826,87,dance pop
MONACO,BAD BUNNY,nadie sabe lo que va a pasar mañana,2023-10-13,267194,77,reggaeton
GIMME MORE,BRITNEY SPEARS,Blackout,2007-10-25,251240,80,dance pop
PRECO CERTO,PEDRO MAFAMA,Estava No Abismo Mas Dei Um Passo Em Frente,2023-05-26,170558,45,portuguese indie
TEXAS HOLD EM,BEYONCE,COWBOY CARTER,2024-03-29,233456,73,pop
CAPICUAS,RITA ROCHA,Capicuas,2024-10-10,158733,33,""
DEMONS,IMAGINE DRAGONS,Night Visions,2012-09-04,175200,73,modern rock
Garota,"Maninho, Marisa Liz",Garota (feat. Marisa Liz),2024-06-07,216569,54,portuguese pop
A BAR SONG (TIPSY),SHABOOZEY,A Bar Song (Tipsy),2024-04-12,171291,87,modern country pop
"Olá, Solidão",Os Quatro e Meia,Olá Solidão,2021-06-25,280863,48,portuguese folk
Crazy in Love,"Beyoncé, Jay Z",Dangerously In Love,2003-06-24,236133,77,pop
DONT KNOW WHY,NORAH JONES,Come Away With Me (Super Deluxe Edition),2002-02-26,186251,75,contemporary vocal jazz
SCARED TO START,MICHAEL MARCAGI,Scared To Start,2024-01-12,159636,85,""
Morado,J Balvin,Colores,2020-03-19,200266,62,reggaeton
Tradição,S. Pedro,Tradição,2024-10-08,163680,22,portuguese indie
OUTRO PLANETA,VIRGUL,Outro Planeta,2024-07-05,184902,36,portuguese pop
SAUDADE,"MIGUEL ARAUJO, OS QUATRO E MEIA",Saudade,2024-03-08,248880,43,portuguese pop
SO FE,GRELO,É o Grelo,2024-07-19,203337,79,""
"Thank U, Next",Ariana Grande,"thank u, next",2019-02-08,207320,78,pop
SOMEONE YOU LOVED,LEWIS CAPALDI,Divinely Uninspired To A Hellish Extent,2019-05-17,182160,86,pop
Avião de Papel,"Carolina Deslandes, Rui Veloso",Casa,2018-04-20,226730,37,portuguese pop
EUROPA,MIZZY MILES feat. DEEJAY TELIO & TETO & GSON,EUROPA (feat. Gson),2022-06-01,216800,51,hip hop tuga
CAVALINHO,Pedro Sampaio,CAVALINHO,2024-01-25,138591,66,funk carioca
BIRDS OF A FEATHER,BILLIE EILISH,HIT ME HARD AND SOFT,2024-05-17,210373,98,art pop
Easy on Me,Adele,30,2021-11-19,224694,83,british soul
THE DOOR,TEDDY SWIMS,I've Tried Everything But Therapy (Part 1),2023-09-15,212648,86,""
Timeless,The Weeknd,Timeless,2024-09-27,256000,92,canadian contemporary r&b
ROSAS,"KAPPA JOTTA, MUN",ROSAS,2022-05-11,177272,49,hip hop tuga
USED TO BE YOUNG,MILEY CYRUS,Endless Summer Vacation,2023-08-18,191185,70,pop
DONT STOP THE MUSIC,RIHANNA,Good Girl Gone Bad,2007-01-01,267080,70,barbadian pop
